 	\u0020	alt-032	SPACE
⇨	\u21E8	alt-08680	RIGHTWARDS WHITE ARROW = group select ISO 9995-7
⇩	\u21E9	alt-08681	DOWNWARDS WHITE ARROW
⇪	\u21EA	alt-08682	UPWARDS WHITE ARROW FROM BAR = caps lock
⇫	\u21EB	alt-08683	UPWARDS WHITE ARROW ON PEDESTAL = level 2 lock
⇬	\u21EC	alt-08684	UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR = capitals caps lock
⇭	\u21ED	alt-08685	UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR = numeric lock
⇮	\u21EE	alt-08686	UPWARDS WHITE DOUBLE ARROW = level 3 select
⇯	\u21EF	alt-08687	UPWARDS WHITE DOUBLE ARROW ON PEDESTAL = level 3 lock
⇰	\u21F0	alt-08688	RIGHTWARDS WHITE ARROW FROM WALL = group lock
⇱	\u21F1	alt-08689	NORTH WEST ARROW TO CORNER = home
⇲	\u21F2	alt-08690	SOUTH EAST ARROW TO CORNER = end
⇳	\u21F3	alt-08691	UP DOWN WHITE ARROW = scrolling
Miscellaneous arrows

⇴	\u21F4	alt-08692	RIGHT ARROW WITH SMALL CIRCLE
⇵	\u21F5	alt-08693	DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
⇶	\u21F6	alt-08694	THREE RIGHTWARDS ARROWS
⇷	\u21F7	alt-08695	LEFTWARDS ARROW WITH VERTICAL STROKE
⇸	\u21F8	alt-08696	RIGHTWARDS ARROW WITH VERTICAL STROKE = z notation partial function
⇹	\u21F9	alt-08697	LEFT RIGHT ARROW WITH VERTICAL STROKE = z notation partial relation
⇺	\u21FA	alt-08698	LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE
⇻	\u21FB	alt-08699	RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE = z notation finite function
⇼	\u21FC	alt-08700	LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE = z notation finite relation
⇽	\u21FD	alt-08701	LEFTWARDS OPEN-HEADED ARROW
⇾	\u21FE	alt-08702	RIGHTWARDS OPEN-HEADED ARROW
⇿	\u21FF	alt-08703	LEFT RIGHT OPEN-HEADED ARROW
Miscellaneous mathematical symbols

∀	\u2200	alt-08704	FOR ALL = universal quantifier
∁	\u2201	alt-08705	COMPLEMENT
∂	\u2202	alt-08706	PARTIAL DIFFERENTIAL
∃	\u2203	alt-08707	THERE EXISTS = existential quantifier
∄	\u2204	alt-08708	THERE DOES NOT EXIST
∅	\u2205	alt-08709	EMPTY SET = null set
∆	\u2206	alt-08710	INCREMENT = Laplace operator = forward difference = symmetric difference in set theory
∇	\u2207	alt-08711	NABLA = backward difference = gradient, del
Set membership

∈	\u2208	alt-08712	ELEMENT OF
∉	\u2209	alt-08713	NOT AN ELEMENT OF
∊	\u220A	alt-08714	SMALL ELEMENT OF
∋	\u220B	alt-08715	CONTAINS AS MEMBER = such that
∌	\u220C	alt-08716	DOES NOT CONTAIN AS MEMBER
∍	\u220D	alt-08717	SMALL CONTAINS AS MEMBER
Miscellaneous mathematical symbol

∎	\u220E	alt-08718	END OF PROOF = q.e.d.
N-ary operators

∏	\u220F	alt-08719	N-ARY PRODUCT = product sign
∐	\u2210	alt-08720	N-ARY COPRODUCT = coproduct sign
∑	\u2211	alt-08721	N-ARY SUMMATION = summation sign
Operators

−	\u2212	alt-08722	MINUS SIGN
∓	\u2213	alt-08723	MINUS-OR-PLUS SIGN
∔	\u2214	alt-08724	DOT PLUS
∕	\u2215	alt-08725	DIVISION SLASH
∖	\u2216	alt-08726	SET MINUS
∗	\u2217	alt-08727	ASTERISK OPERATOR
∘	\u2218	alt-08728	RING OPERATOR = composite function = APL jot
∙	\u2219	alt-08729	BULLET OPERATOR
√	\u221A	alt-08730	SQUARE ROOT = radical sign
∛	\u221B	alt-08731	CUBE ROOT
∜	\u221C	alt-08732	FOURTH ROOT
∝	\u221D	alt-08733	PROPORTIONAL TO
Miscellaneous mathematical symbols

∞	\u221E	alt-08734	INFINITY
∟	\u221F	alt-08735	RIGHT ANGLE
∠	\u2220	alt-08736	ANGLE
∡	\u2221	alt-08737	MEASURED ANGLE
∢	\u2222	alt-08738	SPHERICAL ANGLE = angle arc
Relations

∣	\u2223	alt-08739	DIVIDES = such that = APL stile
∤	\u2224	alt-08740	DOES NOT DIVIDE
∥	\u2225	alt-08741	PARALLEL TO
∦	\u2226	alt-08742	NOT PARALLEL TO
Logical and set operators

∧	\u2227	alt-08743	LOGICAL AND = wedge, conjunction
∨	\u2228	alt-08744	LOGICAL OR = vee, disjunction
∩	\u2229	alt-08745	INTERSECTION = cap, hat
∪	\u222A	alt-08746	UNION = cup
Integrals

∫	\u222B	alt-08747	INTEGRAL
∬	\u222C	alt-08748	DOUBLE INTEGRAL
∭	\u222D	alt-08749	TRIPLE INTEGRAL
∮	\u222E	alt-08750	CONTOUR INTEGRAL
∯	\u222F	alt-08751	SURFACE INTEGRAL
∰	\u2230	alt-08752	VOLUME INTEGRAL
∱	\u2231	alt-08753	CLOCKWISE INTEGRAL
∲	\u2232	alt-08754	CLOCKWISE CONTOUR INTEGRAL
∳	\u2233	alt-08755	ANTICLOCKWISE CONTOUR INTEGRAL
Miscellaneous mathematical symbols

∴	\u2234	alt-08756	THEREFORE Freemason symbol - three dots - 3 points symbol. This 3 dos can also be &there4; in HTML.
∵	\u2235	alt-08757	BECAUSE
Relations

∶	\u2236	alt-08758	RATIO
∷	\u2237	alt-08759	PROPORTION
Operator

∸	\u2238	alt-08760	DOT MINUS = saturating subtraction
Relation

∹	\u2239	alt-08761	EXCESS
Operator

∺	\u223A	alt-08762	GEOMETRIC PROPORTION
Relations

∻	\u223B	alt-08763	HOMOTHETIC
∼	\u223C	alt-08764	TILDE OPERATOR = varies with proportional to = difference between = similar to = not = cycle = APL tilde
∽	\u223D	alt-08765	REVERSED TILDE = lazy S
∾	\u223E	alt-08766	INVERTED LAZY S = most positive
Miscellaneous mathematical symbol

∿	\u223F	alt-08767	SINE WAVE = alternating current
Operator

≀	\u2240	alt-08768	WREATH PRODUCT
Relations

≁	\u2241	alt-08769	NOT TILDE
≂	\u2242	alt-08770	MINUS TILDE
≃	\u2243	alt-08771	ASYMPTOTICALLY EQUAL TO
≄	\u2244	alt-08772	NOT ASYMPTOTICALLY EQUAL TO
≅	\u2245	alt-08773	APPROXIMATELY EQUAL TO
≆	\u2246	alt-08774	APPROXIMATELY BUT NOT ACTUALLY EQUAL TO
≇	\u2247	alt-08775	NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO
≈	\u2248	alt-08776	ALMOST EQUAL TO = asymptotic to
≉	\u2249	alt-08777	NOT ALMOST EQUAL TO
≊	\u224A	alt-08778	ALMOST EQUAL OR EQUAL TO
≋	\u224B	alt-08779	TRIPLE TILDE
≌	\u224C	alt-08780	ALL EQUAL TO
≍	\u224D	alt-08781	EQUIVALENT TO
≎	\u224E	alt-08782	GEOMETRICALLY EQUIVALENT TO
≏	\u224F	alt-08783	DIFFERENCE BETWEEN
≐	\u2250	alt-08784	APPROACHES THE LIMIT
≑	\u2251	alt-08785	GEOMETRICALLY EQUAL TO
≒	\u2252	alt-08786	APPROXIMATELY EQUAL TO OR THE IMAGE OF = nearly equals
≓	\u2253	alt-08787	IMAGE OF OR APPROXIMATELY EQUAL TO
≔	\u2254	alt-08788	COLON EQUALS
≕	\u2255	alt-08789	EQUALS COLON
≖	\u2256	alt-08790	RING IN EQUAL TO
≗	\u2257	alt-08791	RING EQUAL TO = approximately equal to
≘	\u2258	alt-08792	CORRESPONDS TO
≙	\u2259	alt-08793	ESTIMATES = corresponds to
≚	\u225A	alt-08794	EQUIANGULAR TO
≛	\u225B	alt-08795	STAR EQUALS
≜	\u225C	alt-08796	DELTA EQUAL TO = equiangular = equal to by definition
≝	\u225D	alt-08797	EQUAL TO BY DEFINITION
≞	\u225E	alt-08798	MEASURED BY
≟	\u225F	alt-08799	QUESTIONED EQUAL TO
≠	\u2260	alt-08800	NOT EQUAL TO
≡	\u2261	alt-08801	IDENTICAL TO
≢	\u2262	alt-08802	NOT IDENTICAL TO
≣	\u2263	alt-08803	STRICTLY EQUIVALENT TO
≤	\u2264	alt-08804	LESS-THAN OR EQUAL TO
≥	\u2265	alt-08805	GREATER-THAN OR EQUAL TO
≦	\u2266	alt-08806	LESS-THAN OVER EQUAL TO
≧	\u2267	alt-08807	GREATER-THAN OVER EQUAL TO
≨	\u2268	alt-08808	LESS-THAN BUT NOT EQUAL TO
≩	\u2269	alt-08809	GREATER-THAN BUT NOT EQUAL TO
≪	\u226A	alt-08810	MUCH LESS-THAN
≫	\u226B	alt-08811	MUCH GREATER-THAN
≬	\u226C	alt-08812	BETWEEN = plaintiff, quantic
≭	\u226D	alt-08813	NOT EQUIVALENT TO
≮	\u226E	alt-08814	NOT LESS-THAN
≯	\u226F	alt-08815	NOT GREATER-THAN
≰	\u2270	alt-08816	NEITHER LESS-THAN NOR EQUAL TO
≱	\u2271	alt-08817	NEITHER GREATER-THAN NOR EQUAL TO
≲	\u2272	alt-08818	LESS-THAN OR EQUIVALENT TO
≳	\u2273	alt-08819	GREATER-THAN OR EQUIVALENT TO
≴	\u2274	alt-08820	NEITHER LESS-THAN NOR EQUIVALENT TO
≵	\u2275	alt-08821	NEITHER GREATER-THAN NOR EQUIVALENT TO
≶	\u2276	alt-08822	LESS-THAN OR GREATER-THAN
≷	\u2277	alt-08823	GREATER-THAN OR LESS-THAN
≸	\u2278	alt-08824	NEITHER LESS-THAN NOR GREATER-THAN
≹	\u2279	alt-08825	NEITHER GREATER-THAN NOR LESS-THAN
≺	\u227A	alt-08826	PRECEDES = lower rank than
≻	\u227B	alt-08827	SUCCEEDS = higher rank than
≼	\u227C	alt-08828	PRECEDES OR EQUAL TO
≽	\u227D	alt-08829	SUCCEEDS OR EQUAL TO
≾	\u227E	alt-08830	PRECEDES OR EQUIVALENT TO
≿	\u227F	alt-08831	SUCCEEDS OR EQUIVALENT TO
⊀	\u2280	alt-08832	DOES NOT PRECEDE
⊁	\u2281	alt-08833	DOES NOT SUCCEED
⊂	\u2282	alt-08834	SUBSET OF = included in set
⊃	\u2283	alt-08835	SUPERSET OF = includes in set
⊄	\u2284	alt-08836	NOT A SUBSET OF
⊅	\u2285	alt-08837	NOT A SUPERSET OF
⊆	\u2286	alt-08838	SUBSET OF OR EQUAL TO
⊇	\u2287	alt-08839	SUPERSET OF OR EQUAL TO
⊈	\u2288	alt-08840	NEITHER A SUBSET OF NOR EQUAL TO
⊉	\u2289	alt-08841	NEITHER A SUPERSET OF NOR EQUAL TO
⊊	\u228A	alt-08842	SUBSET OF WITH NOT EQUAL TO
⊋	\u228B	alt-08843	SUPERSET OF WITH NOT EQUAL TO
Operators

⊌	\u228C	alt-08844	MULTISET
⊍	\u228D	alt-08845	MULTISET MULTIPLICATION
⊎	\u228E	alt-08846	MULTISET UNION = z notation bag addition
Relations

⊏	\u228F	alt-08847	SQUARE IMAGE OF
⊐	\u2290	alt-08848	SQUARE ORIGINAL OF
⊑	\u2291	alt-08849	SQUARE IMAGE OF OR EQUAL TO
⊒	\u2292	alt-08850	SQUARE ORIGINAL OF OR EQUAL TO
Operators

⊓	\u2293	alt-08851	SQUARE CAP
⊔	\u2294	alt-08852	SQUARE CUP
⊕	\u2295	alt-08853	CIRCLED PLUS = direct sum = vector pointing into page
⊖	\u2296	alt-08854	CIRCLED MINUS = symmetric difference
⊗	\u2297	alt-08855	CIRCLED TIMES = tensor product = vector pointing into page
⊘	\u2298	alt-08856	CIRCLED DIVISION SLASH
⊙	\u2299	alt-08857	CIRCLED DOT OPERATOR = direct product = vector pointing out of page
⊚	\u229A	alt-08858	CIRCLED RING OPERATOR
⊛	\u229B	alt-08859	CIRCLED ASTERISK OPERATOR
⊜	\u229C	alt-08860	CIRCLED EQUALS
⊝	\u229D	alt-08861	CIRCLED DASH
⊞	\u229E	alt-08862	SQUARED PLUS
⊟	\u229F	alt-08863	SQUARED MINUS
⊠	\u22A0	alt-08864	SQUARED TIMES
⊡	\u22A1	alt-08865	SQUARED DOT OPERATOR
⊢	\u22A2	alt-08866	RIGHT TACK = turnstile = proves, implies, yields = reducible
⊣	\u22A3	alt-08867	LEFT TACK = reverse turnstile = non-theorem, does not yield
Miscellaneous mathematical symbols

⊤	\u22A4	alt-08868	DOWN TACK = top
⊥	\u22A5	alt-08869	UP TACK = base, bottom
Relations

⊦	\u22A6	alt-08870	ASSERTION = reduces to
⊧	\u22A7	alt-08871	MODELS
⊨	\u22A8	alt-08872	TRUE = statement is true, valid = is a tautology = satisfies = results in
⊩	\u22A9	alt-08873	FORCES
⊪	\u22AA	alt-08874	TRIPLE VERTICAL BAR RIGHT TURNSTILE
⊫	\u22AB	alt-08875	DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
⊬	\u22AC	alt-08876	DOES NOT PROVE
⊭	\u22AD	alt-08877	NOT TRUE
⊮	\u22AE	alt-08878	DOES NOT FORCE
⊯	\u22AF	alt-08879	NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
⊰	\u22B0	alt-08880	PRECEDES UNDER RELATION
⊱	\u22B1	alt-08881	SUCCEEDS UNDER RELATION
⊲	\u22B2	alt-08882	NORMAL SUBGROUP OF
⊳	\u22B3	alt-08883	CONTAINS AS NORMAL SUBGROUP
⊴	\u22B4	alt-08884	NORMAL SUBGROUP OF OR EQUAL TO
⊵	\u22B5	alt-08885	CONTAINS AS NORMAL SUBGROUP OR EQUAL TO
⊶	\u22B6	alt-08886	ORIGINAL OF
⊷	\u22B7	alt-08887	IMAGE OF
⊸	\u22B8	alt-08888	MULTIMAP
⊹	\u22B9	alt-08889	HERMITIAN CONJUGATE MATRIX
Operators

⊺	\u22BA	alt-08890	INTERCALATE
⊻	\u22BB	alt-08891	XOR
⊼	\u22BC	alt-08892	NAND
⊽	\u22BD	alt-08893	NOR
Miscellaneous mathematical symbols

⊾	\u22BE	alt-08894	RIGHT ANGLE WITH ARC
⊿	\u22BF	alt-08895	RIGHT TRIANGLE
N-ary operators

⋀	\u22C0	alt-08896	N-ARY LOGICAL AND
⋁	\u22C1	alt-08897	N-ARY LOGICAL OR
⋂	\u22C2	alt-08898	N-ARY INTERSECTION = z notation generalised intersection
⋃	\u22C3	alt-08899	N-ARY UNION = z notation generalised union
Operators

⋄	\u22C4	alt-08900	DIAMOND OPERATOR
⋅	\u22C5	alt-08901	DOT OPERATOR
⋆	\u22C6	alt-08902	STAR OPERATOR
⋇	\u22C7	alt-08903	DIVISION TIMES
Relation

⋈	\u22C8	alt-08904	BOWTIE
Operators

⋉	\u22C9	alt-08905	LEFT NORMAL FACTOR SEMIDIRECT PRODUCT
⋊	\u22CA	alt-08906	RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT
⋋	\u22CB	alt-08907	LEFT SEMIDIRECT PRODUCT
⋌	\u22CC	alt-08908	RIGHT SEMIDIRECT PRODUCT
Relation

⋍	\u22CD	alt-08909	REVERSED TILDE EQUALS
Logical operators

⋎	\u22CE	alt-08910	CURLY LOGICAL OR
⋏	\u22CF	alt-08911	CURLY LOGICAL AND
Relations

⋐	\u22D0	alt-08912	DOUBLE SUBSET
⋑	\u22D1	alt-08913	DOUBLE SUPERSET
Operators

⋒	\u22D2	alt-08914	DOUBLE INTERSECTION
⋓	\u22D3	alt-08915	DOUBLE UNION
Relations

⋔	\u22D4	alt-08916	PITCHFORK = proper intersection
⋕	\u22D5	alt-08917	EQUAL AND PARALLEL TO
⋖	\u22D6	alt-08918	LESS-THAN WITH DOT
⋗	\u22D7	alt-08919	GREATER-THAN WITH DOT
⋘	\u22D8	alt-08920	VERY MUCH LESS-THAN
⋙	\u22D9	alt-08921	VERY MUCH GREATER-THAN
⋚	\u22DA	alt-08922	LESS-THAN EQUAL TO OR GREATER-THAN
⋛	\u22DB	alt-08923	GREATER-THAN EQUAL TO OR LESS-THAN
⋜	\u22DC	alt-08924	EQUAL TO OR LESS-THAN
⋝	\u22DD	alt-08925	EQUAL TO OR GREATER-THAN
⋞	\u22DE	alt-08926	EQUAL TO OR PRECEDES
⋟	\u22DF	alt-08927	EQUAL TO OR SUCCEEDS
⋠	\u22E0	alt-08928	DOES NOT PRECEDE OR EQUAL
⋡	\u22E1	alt-08929	DOES NOT SUCCEED OR EQUAL
⋢	\u22E2	alt-08930	NOT SQUARE IMAGE OF OR EQUAL TO
⋣	\u22E3	alt-08931	NOT SQUARE ORIGINAL OF OR EQUAL TO
⋤	\u22E4	alt-08932	SQUARE IMAGE OF OR NOT EQUAL TO
⋥	\u22E5	alt-08933	SQUARE ORIGINAL OF OR NOT EQUAL TO
⋦	\u22E6	alt-08934	LESS-THAN BUT NOT EQUIVALENT TO
⋧	\u22E7	alt-08935	GREATER-THAN BUT NOT EQUIVALENT TO
⋨	\u22E8	alt-08936	PRECEDES BUT NOT EQUIVALENT TO
⋩	\u22E9	alt-08937	SUCCEEDS BUT NOT EQUIVALENT TO
⋪	\u22EA	alt-08938	NOT NORMAL SUBGROUP OF
⋫	\u22EB	alt-08939	DOES NOT CONTAIN AS NORMAL SUBGROUP
⋬	\u22EC	alt-08940	NOT NORMAL SUBGROUP OF OR EQUAL TO
⋭	\u22ED	alt-08941	DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL
⋮	\u22EE	alt-08942	VERTICAL ELLIPSIS
⋯	\u22EF	alt-08943	MIDLINE HORIZONTAL ELLIPSIS
⋰	\u22F0	alt-08944	UP RIGHT DIAGONAL ELLIPSIS
⋱	\u22F1	alt-08945	DOWN RIGHT DIAGONAL ELLIPSIS
Miscellaneous technical

⌀	\u2300	alt-08960	DIAMETER SIGN
⌁	\u2301	alt-08961	ELECTRIC ARROW
Miscellaneous technical * from ISO 2047

⌂	\u2302	alt-08962	HOUSE
⌃	\u2303	alt-08963	UP ARROWHEAD
⌄	\u2304	alt-08964	DOWN ARROWHEAD
⌅	\u2305	alt-08965	PROJECTIVE
⌆	\u2306	alt-08966	PERSPECTIVE
⌇	\u2307	alt-08967	WAVY LINE
Ceilings and floors These characters are tall and narrow mathematical delimiters, in contrast to the quine corners or half brackets. They are also distinct from CJK corner brackets, which are wide quotation marks.

⌈	\u2308	alt-08968	LEFT CEILING = APL upstile
⌉	\u2309	alt-08969	RIGHT CEILING
⌊	\u230A	alt-08970	LEFT FLOOR = APL downstile
⌋	\u230B	alt-08971	RIGHT FLOOR
Miscellaneous technical

⌐	\u2310	alt-08976	REVERSED NOT SIGN = beginning of line
⌑	\u2311	alt-08977	SQUARE LOZENGE = Kissen pillow
⌒	\u2312	alt-08978	ARC = position of any line
⌓	\u2313	alt-08979	SEGMENT = position of a surface
⌔	\u2314	alt-08980	SECTOR
⌕	\u2315	alt-08981	TELEPHONE RECORDER
⌖	\u2316	alt-08982	POSITION INDICATOR = true position
⌗	\u2317	alt-08983	VIEWDATA SQUARE
⌘	\u2318	alt-08984	PLACE OF INTEREST SIGN = command key = operating system key ISO 9995-7
⌙	\u2319	alt-08985	TURNED NOT SIGN = line marker
User interface symbols

⌚	\u231A	alt-08986	WATCH
⌛	\u231B	alt-08987	HOURGLASS = alchemical symbol for hour
Integral pieces

⌠	\u2320	alt-08992	TOP HALF INTEGRAL
⌡	\u2321	alt-08993	BOTTOM HALF INTEGRAL
Frown and smile

⌢	\u2322	alt-08994	FROWN
⌣	\u2323	alt-08995	SMILE
Keyboard symbols

⌤	\u2324	alt-08996	UP ARROWHEAD BETWEEN TWO HORIZONTAL BARS = enter key
⌥	\u2325	alt-08997	OPTION KEY
⌦	\u2326	alt-08998	ERASE TO THE RIGHT = delete to the right key
⌧	\u2327	alt-08999	X IN A RECTANGLE BOX = clear key
⌨	\u2328	alt-09000	KEYBOARD
Keyboard symbol

⌫	\u232B	alt-09003	ERASE TO THE LEFT = delete to the left key
Chemistry symbol

⌬	\u232C	alt-09004	BENZENE RING
Bracket pieces

⎛	\u239B	alt-09115	LEFT PARENTHESIS UPPER HOOK
⎜	\u239C	alt-09116	LEFT PARENTHESIS EXTENSION
⎝	\u239D	alt-09117	LEFT PARENTHESIS LOWER HOOK
⎞	\u239E	alt-09118	RIGHT PARENTHESIS UPPER HOOK
⎟	\u239F	alt-09119	RIGHT PARENTHESIS EXTENSION
⎠	\u23A0	alt-09120	RIGHT PARENTHESIS LOWER HOOK
⎡	\u23A1	alt-09121	LEFT SQUARE BRACKET UPPER CORNER
⎢	\u23A2	alt-09122	LEFT SQUARE BRACKET EXTENSION
⎣	\u23A3	alt-09123	LEFT SQUARE BRACKET LOWER CORNER
⎤	\u23A4	alt-09124	RIGHT SQUARE BRACKET UPPER CORNER
⎥	\u23A5	alt-09125	RIGHT SQUARE BRACKET EXTENSION
⎦	\u23A6	alt-09126	RIGHT SQUARE BRACKET LOWER CORNER
⎧	\u23A7	alt-09127	LEFT CURLY BRACKET UPPER HOOK
⎨	\u23A8	alt-09128	LEFT CURLY BRACKET MIDDLE PIECE
⎩	\u23A9	alt-09129	LEFT CURLY BRACKET LOWER HOOK
⎪	\u23AA	alt-09130	CURLY BRACKET EXTENSION
⎫	\u23AB	alt-09131	RIGHT CURLY BRACKET UPPER HOOK
⎬	\u23AC	alt-09132	RIGHT CURLY BRACKET MIDDLE PIECE
⎭	\u23AD	alt-09133	RIGHT CURLY BRACKET LOWER HOOK
Keyboard and UI symbols

⏎	\u23CE	alt-09166	RETURN SYMBOL
⏏	\u23CF	alt-09167	EJECT SYMBOL
Electrotechnical symbols

⏚	\u23DA	alt-09178	EARTH GROUND
⏛	\u23DB	alt-09179	FUSE
User interface symbols

⏰	\u23F0	alt-09200	ALARM CLOCK
⏱	\u23F1	alt-09201	STOPWATCH
⏲	\u23F2	alt-09202	TIMER CLOCK
⏳	\u23F3	alt-09203	HOURGLASS WITH FLOWING SAND
Specific symbols for space

␢	\u2422	alt-09250	BLANK SYMBOL
␣	\u2423	alt-09251	OPEN BOX
Light and heavy solid lines

─	\u2500	alt-09472	BOX DRAWINGS LIGHT HORIZONTAL = Videotex Mosaic DG 15
━	\u2501	alt-09473	BOX DRAWINGS HEAVY HORIZONTAL
│	\u2502	alt-09474	BOX DRAWINGS LIGHT VERTICAL = Videotex Mosaic DG 14
┃	\u2503	alt-09475	BOX DRAWINGS HEAVY VERTICAL
Light and heavy dashed lines

┄	\u2504	alt-09476	BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
┅	\u2505	alt-09477	BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
┆	\u2506	alt-09478	BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
┇	\u2507	alt-09479	BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
┈	\u2508	alt-09480	BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
┉	\u2509	alt-09481	BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
┊	\u250A	alt-09482	BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
┋	\u250B	alt-09483	BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
Light and heavy line box components

┌	\u250C	alt-09484	BOX DRAWINGS LIGHT DOWN AND RIGHT = Videotex Mosaic DG 16
┍	\u250D	alt-09485	BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
┎	\u250E	alt-09486	BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
┏	\u250F	alt-09487	BOX DRAWINGS HEAVY DOWN AND RIGHT
┐	\u2510	alt-09488	BOX DRAWINGS LIGHT DOWN AND LEFT = Videotex Mosaic DG 17
┑	\u2511	alt-09489	BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
┒	\u2512	alt-09490	BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
┓	\u2513	alt-09491	BOX DRAWINGS HEAVY DOWN AND LEFT
└	\u2514	alt-09492	BOX DRAWINGS LIGHT UP AND RIGHT = Videotex Mosaic DG 18
┕	\u2515	alt-09493	BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
┖	\u2516	alt-09494	BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
┗	\u2517	alt-09495	BOX DRAWINGS HEAVY UP AND RIGHT
┘	\u2518	alt-09496	BOX DRAWINGS LIGHT UP AND LEFT = Videotex Mosaic DG 19
┙	\u2519	alt-09497	BOX DRAWINGS UP LIGHT AND LEFT HEAVY
┚	\u251A	alt-09498	BOX DRAWINGS UP HEAVY AND LEFT LIGHT
┛	\u251B	alt-09499	BOX DRAWINGS HEAVY UP AND LEFT
├	\u251C	alt-09500	BOX DRAWINGS LIGHT VERTICAL AND RIGHT = Videotex Mosaic DG 20
┝	\u251D	alt-09501	BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY = Videotex Mosaic DG 03
┞	\u251E	alt-09502	BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT
┟	\u251F	alt-09503	BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT
┠	\u2520	alt-09504	BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
┡	\u2521	alt-09505	BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY
┢	\u2522	alt-09506	BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY
┣	\u2523	alt-09507	BOX DRAWINGS HEAVY VERTICAL AND RIGHT
┤	\u2524	alt-09508	BOX DRAWINGS LIGHT VERTICAL AND LEFT = Videotex Mosaic DG 21
┥	\u2525	alt-09509	BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY = Videotex Mosaic DG 04
┦	\u2526	alt-09510	BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT
┧	\u2527	alt-09511	BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT
┨	\u2528	alt-09512	BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
┩	\u2529	alt-09513	BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY
┪	\u252A	alt-09514	BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY
┫	\u252B	alt-09515	BOX DRAWINGS HEAVY VERTICAL AND LEFT
┬	\u252C	alt-09516	BOX DRAWINGS LIGHT DOWN AND HORIZONTAL = Videotex Mosaic DG 22
┭	\u252D	alt-09517	BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT
┮	\u252E	alt-09518	BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT
┯	\u252F	alt-09519	BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY = Videotex Mosaic DG 02
┰	\u2530	alt-09520	BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
┱	\u2531	alt-09521	BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY
┲	\u2532	alt-09522	BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY
┳	\u2533	alt-09523	BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
┴	\u2534	alt-09524	BOX DRAWINGS LIGHT UP AND HORIZONTAL = Videotex Mosaic DG 23
┵	\u2535	alt-09525	BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT
┶	\u2536	alt-09526	BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT
┷	\u2537	alt-09527	BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY = Videotex Mosaic DG 01
┸	\u2538	alt-09528	BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
┹	\u2539	alt-09529	BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY
┺	\u253A	alt-09530	BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY
